f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,uncertainty,recon_loss,kernel_drop
0.343619,-0.190784,-0.135645,0.0274243,0.366245,-0.0784789,-0.0919958,0.448726,-0.352707,0.172002,0.17774,0.287689,0.246263,0.25527,0.448722,-0.482987,0.305816,0.560754,-0.707651,-0.553462,0.173894,-0.227442,-0.437601,-0.389259,-0.413523,-0.0096317,-0.138425,-0.0455746,0.332981,-0.41859,0.181745,0.700696,0.436987,0.835577,1
-0.0620061,-0.124129,0.23012,-1.14635,0.0747728,0.664776,-0.260981,0.0407156,0.878244,-0.506883,-0.781671,-0.876711,0.247137,0.825107,0.0702268,0.430763,0.20258,0.296705,1.21373,-0.938747,-0.114324,-0.201198,-0.638369,-0.0177831,0.0098471,-0.115252,0.582665,0.45806,-0.15646,0.137477,0.168156,-0.964646,0.520625,0.855081,1
-0.0988633,-0.459255,0.197969,-0.815759,-0.227507,0.04817,-0.682405,-0.30067,0.0490785,-0.280509,0.206274,0.215784,0.602479,0.361433,0.249471,-0.0964777,-0.986776,-0.384649,-0.141984,0.501063,0.626238,0.346796,0.555937,-0.197553,-0.020545,-0.658898,-0.302784,0.0195804,-0.539375,-0.781786,0.967019,0.113945,0.529073,0.874223,1
-0.185678,0.462528,-1.2571,-0.668263,0.806676,0.242131,0.706319,0.171599,0.158841,0.21991,-0.11946,0.401818,0.790217,0.0975207,-0.859343,-0.067177,-0.459393,0.0377504,-0.0359983,-0.105303,0.512091,0.483306,-0.0880904,0.136072,-0.544911,-0.61267,0.279845,-0.371281,-0.330031,-0.145301,0.0842663,0.0557331,0.541086,0.885778,1
-0.207346,-0.930893,0.0560739,-0.220996,0.0528297,0.231999,0.433152,0.6582,-0.597683,-0.470875,-0.408015,0.0540627,-0.0353986,0.00842588,0.116377,0.647862,-0.183256,0.594321,0.247124,-0.19722,-0.482884,1.27172,-0.027533,0.487827,-0.125431,0.495256,0.388586,-0.370855,-0.192282,0.549647,-0.13075,0.438362,0.501676,0.840878,1
0.613429,0.825486,-0.399061,0.151647,0.119739,1.1445,0.176833,0.244434,0.139808,0.252051,-0.530188,-0.313786,-0.560256,1.03162,-0.197055,0.287765,0.208986,0.334415,-0.367454,-0.207545,-0.358136,-0.572493,-0.0267323,-0.531037,0.700073,-1.33097,0.606512,-0.757622,-0.41646,-0.189049,0.781121,-0.223133,0.474551,0.819762,1
0.704742,-0.245509,-0.256393,0.431151,-1.0799,0.209937,0.020542,0.115046,1.22586,0.205934,0.47917,-0.495863,-0.507303,-0.255587,-0.465218,-0.0912875,-0.0483427,-0.481884,0.105707,0.677346,1.08351,0.441877,-0.490928,0.874678,0.61972,0.386041,0.703203,0.963086,-0.229724,0.128721,-0.85572,0.722643,0.529497,0.914592,1
-0.238072,0.543373,-0.177453,0.513117,-0.437555,-0.226709,0.303245,0.204615,-0.335805,0.0263119,-0.0460503,0.303262,-0.452238,-0.101662,-0.186274,0.642365,0.237624,-0.467839,-0.426071,-0.138164,-0.0806007,0.339916,0.045675,-0.336606,-0.330773,0.139304,0.562885,-0.707048,-0.352939,-0.386465,0.133074,0.841554,0.433448,0.872335,1
-1.1181,0.0119743,-0.326779,-0.152507,-0.464146,-0.747982,-0.102563,0.421505,-0.119264,0.645772,-0.151905,0.247506,-0.252245,0.759179,0.963027,-0.05766,0.288809,-0.960959,0.633133,-0.220215,0.829339,0.196612,-0.321831,-0.32399,0.123954,0.188116,-0.164885,0.407541,-0.328903,-0.63127,0.0854179,0.279739,0.481083,0.819471,1
-0.615957,0.0361393,-0.0481143,0.482522,0.0118656,0.27612,-0.372755,-0.0720357,0.541862,0.575319,-0.130997,0.136745,0.223234,-0.425709,0.506032,0.685032,-0.0015425,0.0629247,-0.647133,0.431325,0.514939,-0.334528,0.267863,-0.0857486,0.134064,-0.791862,-0.309505,0.192292,-0.480756,0.0507324,-0.135539,-0.40494,0.4594,0.834627,1
-0.373861,-0.364963,-0.501827,0.392985,-0.485403,1.03787,-0.954682,-0.75133,-0.175938,-0.310367,-0.850024,0.514591,-0.0659379,0.392511,0.488668,-0.725372,0.83864,-0.797295,-0.118011,-0.51398,0.0269594,-0.458552,0.413049,-0.428398,-0.382319,-0.394546,-0.256894,0.217614,-0.100771,-0.988043,0.198853,-0.557281,0.514766,0.763209,1
0.105656,0.906151,0.683646,-0.501846,0.269844,-0.0744832,-0.240251,-0.339539,-0.175263,-0.594315,0.206104,-0.302542,0.415611,0.173222,0.614194,-0.217829,-0.31283,-0.764626,0.659624,-1.09943,0.922205,-0.413706,-0.291875,0.442519,-0.0278137,-0.160623,0.585949,0.749517,0.454463,-0.339041,-0.0987929,0.573304,0.547165,0.836077,1
0.452763,-0.582529,0.61074,-0.437627,0.990154,-1.78804,-0.203947,-0.226271,0.454424,-0.0195561,-0.180133,0.123027,-0.545285,-0.434549,0.486709,0.777413,-0.829059,-0.4771,0.258709,0.424561,0.145485,0.220447,-0.711977,0.157753,-0.160431,0.461482,0.763765,-0.353678,0.386709,-0.146426,-0.380151,0.132514,0.538357,0.838791,1
0.0871426,-0.146166,0.0130483,-0.915433,-0.445951,0.361339,0.829587,-0.352149,-0.447279,-0.262486,0.0410108,1.24504,1.21512,1.10723,0.776249,0.673179,-0.359306,-0.708375,-0.376492,0.483201,-0.193595,-0.702701,-0.232943,0.612186,0.464403,0.380817,-0.0219421,0.310623,0.294966,-0.151395,0.286658,-0.155082,0.481964,0.781767,1
